firstName,lastName,email,phoneNumber,dateOfBirth,gender,currentAddress,customerSegment
Ayu,Hernandez,ayu.hernandez377@corp.id,62883158610,8/17/2006,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 19""}",VIP
Andi,Saputra,andi.saputra8803@mail.com,62844392625,10/7/1981,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Sudirman No. 114""}",SMB
Patricia,Hidayat,patricia.hidayat9776@company.co.id,62837843197,11/11/1984,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Sudirman No. 155""}",Churn Risk
Rizky,Miller,rizky.miller483@example.com,62817834898,9/10/1991,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 32""}",Churn Risk
Daniel,Miller,daniel.miller6022@sample.id,62887260132,8/15/2006,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. MH Thamrin No. 163""}",Casual
Bayu,Miller,bayu.miller871@company.co.id,62853730153,5/21/1975,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 216""}",VIP
Christopher,Simanjuntak,christopher.simanjuntak3886@company.co.id,62848183120,9/29/2007,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 37""}",Enterprise
Sarah,Hidayat,sarah.hidayat5620@mail.com,62859090945,1/15/1972,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 208""}",VIP
Jessica,Kurniawan,jessica.kurniawan6839@test.com,62879801481,1/3/1988,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Solo No. 42""}",Churn Risk
Rina,Hidayat,rina.hidayat6782@sample.id,62879898834,8/18/1973,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Kuningan No. 281""}",Student
Dwi,Kurniawan,dwi.kurniawan8679@company.co.id,62843931795,12/11/1971,Male,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 123""}",Churn Risk
Budi,Simanjuntak,budi.simanjuntak6938@sample.id,62830228123,1/7/1985,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Kuningan No. 205""}",Prospect
David,Saputra,david.saputra5177@sample.id,62860562844,8/27/1979,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Teuku Umar No. 231""}",SMB
Nisa,Wibowo,nisa.wibowo5882@sample.id,62819055946,11/13/1969,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Thamrin No. 276""}",Churn Risk
Nadia,Hidayat,nadia.hidayat6965@test.com,62887633530,8/11/1975,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 264""}",Professional
William,Siregar,william.siregar3133@mail.com,62853987675,1/14/1966,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Thamrin No. 17""}",Enterprise
Amanda,Smith,amanda.smith3241@demo.co,62889993406,6/20/2006,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 215""}",SMB
Sarah,Miller,sarah.miller8789@demo.co,62871200463,10/17/1995,Female,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 109""}",Student
Yuda,Brown,yuda.brown5268@corp.id,62862513789,11/28/1974,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 180""}",Casual
Rina,Hidayat,rina.hidayat9932@sample.id,62885361299,9/11/1992,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Magelang No. 191""}",Professional
Arif,Johnson,arif.johnson4198@mail.com,62877195416,4/16/1986,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Solo No. 12""}",SMB
Ayu,Lestari,ayu.lestari9305@mail.com,62852715871,12/8/2001,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Dago No. 85""}",Professional
Patricia,Lestari,patricia.lestari8463@sample.id,62892993341,6/1/1975,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 67""}",Casual
Maya,Hidayat,maya.hidayat2896@demo.co,62885314800,9/26/1967,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 58""}",Student
Amanda,Hidayat,amanda.hidayat275@company.co.id,62868772186,11/27/1998,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Teuku Umar No. 50""}",Prospect
James,Hernandez,james.hernandez3802@company.co.id,62887658986,6/15/2000,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Pemuda No. 68""}",Professional
Maya,Saputra,maya.saputra2777@sample.id,62844093642,9/27/1991,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 68""}",Professional
Ashley,Hidayat,ashley.hidayat9868@corp.id,62862312363,11/26/2002,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 299""}",Prospect
Ayu,Davis,ayu.davis9965@sample.id,62858205958,9/8/1981,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Kuningan No. 75""}",SMB
Jessica,Saputra,jessica.saputra2390@mail.com,62843950231,7/10/2003,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 243""}",Professional
Amanda,Santoso,amanda.santoso718@test.com,62869131557,5/25/2003,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 133""}",Casual
Wulan,Saputra,wulan.saputra4469@sample.id,62860302596,11/10/1968,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Pemuda No. 101""}",Professional
Rian,Hidayat,rian.hidayat3880@example.com,62897224973,2/27/1989,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Dago No. 60""}",Churn Risk
Bayu,Lestari,bayu.lestari3083@mail.com,62895452959,7/25/1983,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Sudirman No. 123""}",Professional
James,Wibowo,james.wibowo5870@sample.id,62813608853,9/16/1997,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 101""}",Prospect
Michael,Jones,michael.jones1996@company.co.id,62848165640,3/16/1996,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Pemuda No. 257""}",VIP
Lisa,Lestari,lisa.lestari5533@sample.id,62868996664,2/26/1975,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Dago No. 3""}",VIP
Nadia,Wijaya,nadia.wijaya2553@sample.id,62830373946,10/12/1979,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Thamrin No. 160""}",Student
Nisa,Hidayat,nisa.hidayat7562@company.co.id,62848150905,12/24/1998,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Dago No. 160""}",VIP
Nisa,Pratama,nisa.pratama1211@sample.id,62844655347,5/21/1988,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Dago No. 268""}",Churn Risk
Siti,Brown,siti.brown1322@company.co.id,62865333724,6/13/1982,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. MH Thamrin No. 179""}",Churn Risk
John,Saputra,john.saputra8474@sample.id,62891316080,10/25/1994,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 186""}",Student
Fajar,Hidayat,fajar.hidayat5001@company.co.id,62882201150,5/27/1997,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 218""}",Churn Risk
Amanda,Lestari,amanda.lestari5495@company.co.id,62826125368,9/4/1984,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Thamrin No. 233""}",Enterprise
Patricia,Wibowo,patricia.wibowo5057@sample.id,62820583745,11/14/2003,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 232""}",VIP
Jennifer,Johnson,jennifer.johnson7288@mail.com,62849092452,12/21/1999,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Rasuna Said No. 72""}",Churn Risk
Fajar,Hidayat,fajar.hidayat9761@example.com,62849491319,6/4/1977,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 78""}",Professional
Matthew,Johnson,matthew.johnson6183@corp.id,62836731918,7/27/1999,Male,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 24""}",SMB
John,Martinez,john.martinez5797@demo.co,62842398937,6/3/1969,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Darmo No. 242""}",Casual
Siti,Garcia,siti.garcia7661@demo.co,62877241945,6/13/2002,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 139""}",Professional
Putri,Garcia,putri.garcia7306@sample.id,62877638793,6/7/1978,Female,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 2""}",Churn Risk
Siti,Siregar,siti.siregar3013@test.com,62894028237,1/2/1972,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Pemuda No. 43""}",Prospect
Anthony,Lestari,anthony.lestari841@demo.co,62891488312,3/18/1977,Male,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 127""}",VIP
Nadia,Wijaya,nadia.wijaya5553@company.co.id,62829904735,8/12/1984,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Braga No. 257""}",Prospect
Agus,Jones,agus.jones150@company.co.id,62874457613,11/23/1988,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 257""}",Churn Risk
Yuda,Wibowo,yuda.wibowo635@mail.com,62842760461,2/8/1991,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 279""}",Professional
Agus,Johnson,agus.johnson9438@company.co.id,62826275110,3/10/1979,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 183""}",Student
Tika,Siregar,tika.siregar8630@mail.com,62861826931,1/25/1986,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 223""}",Student
Emily,Davis,emily.davis6808@sample.id,62846264222,9/20/2007,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 83""}",Prospect
Amanda,Martinez,amanda.martinez7495@mail.com,62877802118,12/13/1967,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 65""}",Prospect
David,Smith,david.smith2036@sample.id,62819942409,10/1/1982,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 29""}",SMB
Linda,Siregar,linda.siregar1771@corp.id,62894110920,2/13/1981,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Teuku Umar No. 103""}",SMB
Patricia,Santoso,patricia.santoso3790@demo.co,62836598462,8/26/2006,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 199""}",Student
Wulan,Santoso,wulan.santoso4533@example.com,62830076804,10/19/1988,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Darmo No. 128""}",SMB
Siti,Lestari,siti.lestari4646@mail.com,62860254543,1/10/1996,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 217""}",Churn Risk
Bayu,Pratama,bayu.pratama7072@mail.com,62848468561,11/10/1974,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 244""}",Enterprise
Michael,Garcia,michael.garcia3554@sample.id,62851491084,11/6/1990,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Braga No. 76""}",Enterprise
Putri,Wibowo,putri.wibowo9199@mail.com,62896781124,4/12/1983,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 122""}",Churn Risk
John,Lestari,john.lestari4517@test.com,62839447535,8/7/1971,Male,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 109""}",Prospect
Siti,Hernandez,siti.hernandez454@example.com,62816566677,10/6/1973,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Rasuna Said No. 103""}",Professional
Linda,Kurniawan,linda.kurniawan9665@demo.co,62872586229,1/31/1998,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 191""}",Enterprise
Christopher,Garcia,christopher.garcia9239@corp.id,62820460084,11/28/2006,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 190""}",SMB
Tika,Johnson,tika.johnson8123@example.com,62811372523,8/11/1975,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 81""}",VIP
Agus,Davis,agus.davis3184@example.com,62855618496,6/4/1978,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 256""}",Student
Jessica,Wijaya,jessica.wijaya2259@test.com,62825167273,11/10/1973,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 149""}",VIP
Fajar,Kurniawan,fajar.kurniawan6177@company.co.id,62836223768,10/19/1996,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 239""}",Student
Linda,Siregar,linda.siregar3803@test.com,62833952871,8/28/1992,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Pasteur No. 201""}",VIP
Putri,Simanjuntak,putri.simanjuntak4762@demo.co,62865110476,3/6/1993,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Teuku Umar No. 175""}",Churn Risk
Ayu,Wijaya,ayu.wijaya4937@corp.id,62890914123,8/8/1999,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 162""}",SMB
Putri,Hernandez,putri.hernandez4526@demo.co,62897745221,2/12/1970,Female,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 160""}",Professional
Jessica,Johnson,jessica.johnson3459@corp.id,62894380463,3/13/1985,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Solo No. 134""}",Enterprise
Dwi,Miller,dwi.miller5878@company.co.id,62823485062,11/4/2000,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Teuku Umar No. 35""}",VIP
Ayu,Garcia,ayu.garcia9098@sample.id,62854672041,4/19/1968,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 248""}",Churn Risk
Nisa,Wijaya,nisa.wijaya7758@test.com,62815013676,5/16/1971,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Teuku Umar No. 37""}",Enterprise
Michael,Davis,michael.davis8350@test.com,62861053612,9/21/2004,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 145""}",Churn Risk
Ashley,Smith,ashley.smith8930@example.com,62882437619,1/7/1988,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Kuningan No. 201""}",Enterprise
James,Jones,james.jones9174@demo.co,62897130221,1/23/2003,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Asia Afrika No. 47""}",Enterprise
Rian,Miller,rian.miller6205@demo.co,62825084193,2/14/1981,Male,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 169""}",Professional
Matthew,Smith,matthew.smith9575@company.co.id,62836980917,3/30/1966,Male,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 195""}",Professional
David,Smith,david.smith359@demo.co,62858543365,3/28/1985,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 86""}",Enterprise
Christopher,Kurniawan,christopher.kurniawan3530@example.com,62850403910,10/22/1988,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Pemuda No. 268""}",Professional
Maya,Kurniawan,maya.kurniawan6515@company.co.id,62826980470,4/11/1988,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. MH Thamrin No. 38""}",Prospect
Rina,Pratama,rina.pratama157@test.com,62858829953,5/7/1968,Female,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 66""}",SMB
Matthew,Santoso,matthew.santoso3285@sample.id,62883932309,6/8/1986,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Asia Afrika No. 282""}",Professional
Emily,Wijaya,emily.wijaya1822@mail.com,62824231890,9/4/1970,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 181""}",Enterprise
Fajar,Kurniawan,fajar.kurniawan2665@demo.co,62823854103,2/15/1974,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 281""}",Casual
Emily,Smith,emily.smith9264@corp.id,62854339094,1/17/2002,Female,"{""city"": ""Jakarta"", ""address"": ""Jl. Thamrin No. 118""}",Professional
Siti,Hidayat,siti.hidayat6541@sample.id,62875779391,5/1/1981,Female,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 289""}",Prospect
Anthony,Siregar,anthony.siregar9672@mail.com,62868605901,11/17/1996,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Gatot Subroto No. 105""}",Churn Risk
Matthew,Siregar,matthew.siregar9229@test.com,62814487571,7/6/1970,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Magelang No. 153""}",Student
Andi,Martinez,andi.martinez211@sample.id,62817852973,7/24/1974,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Pasteur No. 194""}",Prospect
Jennifer,Garcia,jennifer.garcia9961@corp.id,62827489184,6/2/1998,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 167""}",SMB
Rina,Santoso,rina.santoso3490@company.co.id,62890528045,3/13/1993,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Solo No. 30""}",SMB
Amanda,Simanjuntak,amanda.simanjuntak4437@sample.id,62895340107,6/13/1967,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Solo No. 235""}",Student
Tika,Martinez,tika.martinez8400@mail.com,62856971028,3/29/1998,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 268""}",VIP
Amanda,Wibowo,amanda.wibowo8620@mail.com,62879563251,9/23/2005,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 71""}",Professional
Ayu,Smith,ayu.smith6312@company.co.id,62872275353,1/31/1989,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Pasteur No. 23""}",Casual
Sarah,Smith,sarah.smith8160@test.com,62853564652,3/9/1996,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Asia Afrika No. 82""}",SMB
Ashley,Kurniawan,ashley.kurniawan3009@test.com,62876745709,7/1/1973,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Darmo No. 123""}",SMB
Maya,Johnson,maya.johnson5038@example.com,62849916909,12/5/1995,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 66""}",Student
Patricia,Hidayat,patricia.hidayat6402@sample.id,62869914346,12/13/1973,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 5""}",Professional
Fajar,Saputra,fajar.saputra5271@sample.id,62893742897,10/31/2003,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 79""}",Prospect
Ashley,Lestari,ashley.lestari6290@demo.co,62878456226,10/2/1976,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Dago No. 292""}",Enterprise
Wulan,Garcia,wulan.garcia14@company.co.id,62818923205,1/25/2006,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Braga No. 44""}",Student
Lisa,Hidayat,lisa.hidayat5472@corp.id,62814825998,3/23/1999,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Dago No. 112""}",Prospect
John,Lestari,john.lestari2414@mail.com,62849075959,11/7/1984,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Darmo No. 102""}",Casual
John,Brown,john.brown3788@example.com,62889658860,3/9/1988,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 9""}",Casual
Dwi,Miller,dwi.miller9694@sample.id,62824937484,2/19/1987,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. MH Thamrin No. 136""}",Casual
Budi,Smith,budi.smith9540@mail.com,62859049347,5/22/2003,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Pasteur No. 90""}",Prospect
Matthew,Kurniawan,matthew.kurniawan3709@example.com,62849244759,1/20/1974,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 71""}",VIP
Bayu,Doe,bayu.doe8627@sample.id,62888444630,2/4/1981,Male,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 225""}",Student
John,Miller,john.miller1233@sample.id,62865470524,7/10/1998,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 38""}",Churn Risk
Dwi,Smith,dwi.smith6042@test.com,62826062107,3/26/1980,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 290""}",SMB
Siti,Garcia,siti.garcia5083@example.com,62833842761,7/21/1993,Female,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 65""}",Enterprise
Ayu,Pratama,ayu.pratama2897@example.com,62847687630,12/8/2000,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 225""}",SMB
Nadia,Hidayat,nadia.hidayat5759@demo.co,62899892559,5/5/1984,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 18""}",Prospect
William,Johnson,william.johnson3917@demo.co,62814566699,7/9/1999,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Rasuna Said No. 162""}",Casual
Jane,Kurniawan,jane.kurniawan355@corp.id,62890079957,2/1/1979,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 42""}",Enterprise
Nadia,Davis,nadia.davis5081@mail.com,62898412628,2/27/1980,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Pasteur No. 259""}",Enterprise
Wulan,Miller,wulan.miller1931@example.com,62831880138,2/9/1974,Female,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 151""}",VIP
Ayu,Simanjuntak,ayu.simanjuntak9284@example.com,62815677732,5/3/1973,Female,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 54""}",SMB
David,Miller,david.miller4356@sample.id,62856439555,7/19/1974,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 166""}",Student
Ayu,Wibowo,ayu.wibowo3697@demo.co,62850004202,2/20/1998,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 227""}",Casual
Christopher,Hidayat,christopher.hidayat190@company.co.id,62891094275,3/17/1969,Male,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 66""}",Professional
Ayu,Hernandez,ayu.hernandez845@sample.id,62896073461,1/13/1990,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Pemuda No. 81""}",Professional
Bayu,Smith,bayu.smith7459@sample.id,62874774109,1/11/1970,Male,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 262""}",Professional
Sarah,Hernandez,sarah.hernandez6465@test.com,62823970746,12/6/1974,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Malioboro No. 243""}",Churn Risk
Dewi,Smith,dewi.smith151@mail.com,62870341598,6/11/1988,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 239""}",Enterprise
Putri,Hidayat,putri.hidayat5817@test.com,62880566102,4/22/1982,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Pasteur No. 144""}",VIP
Budi,Doe,budi.doe3473@mail.com,62814638175,4/1/1978,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 55""}",VIP
Yuda,Garcia,yuda.garcia4288@test.com,62851620063,1/25/2005,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 142""}",VIP
Budi,Lestari,budi.lestari5037@demo.co,62853989863,8/10/1978,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 248""}",Student
Agus,Kurniawan,agus.kurniawan6838@corp.id,62814057627,10/29/2000,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Rasuna Said No. 131""}",Enterprise
Bayu,Simanjuntak,bayu.simanjuntak4636@example.com,62846475245,9/5/1985,Male,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 57""}",Prospect
Jennifer,Smith,jennifer.smith583@test.com,62888182143,6/27/1996,Female,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 98""}",Student
Dwi,Simanjuntak,dwi.simanjuntak6083@mail.com,62884020606,9/4/1967,Male,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Magelang No. 185""}",Professional
Siti,Brown,siti.brown7770@test.com,62887157547,4/8/1971,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Darmo No. 96""}",Student
Jane,Siregar,jane.siregar1752@sample.id,62883586486,6/2/1968,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 259""}",Casual
Andi,Doe,andi.doe1845@demo.co,62825654850,10/23/1997,Male,"{""city"": ""Surabaya"", ""address"": ""Jl. Tunjungan No. 20""}",SMB
John,Wibowo,john.wibowo4917@sample.id,62819159887,11/13/1966,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Asia Afrika No. 81""}",Prospect
Agus,Wijaya,agus.wijaya6856@sample.id,62847150555,8/29/1983,Male,"{""city"": ""Denpasar"", ""address"": ""Jl. Gatot Subroto No. 61""}",Casual
Sarah,Jones,sarah.jones1951@demo.co,62877650969,5/11/1966,Female,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 6""}",SMB
Ashley,Simanjuntak,ashley.simanjuntak2094@test.com,62812144854,5/15/1970,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 298""}",SMB
